Year,Team,Real Win Total,Real Loss Total,Pythag
2012,Montana State Bobcats,12,17,0.428309551
2012,Morehead State Eagles,18,15,0.564827354
2012,Morgan State Bears,9,20,0.393955887
2012,Mount Saint Marys Mountaineers,8,21,0.249765566
2012,Murray State Racers,31,2,0.871556832
2012,Navy Midshipmen,3,26,0.200863463
2012,Nebraska Cornhuskers,12,18,0.317081248
2012,Nebraska-Omaha Mavericks,1,15,0.107486071
2012,Nevada Wolf Pack,28,7,0.68922896
2012,New Hampshire Wildcats,13,16,0.433391676
2012,New Jersey Tech Highlanders,15,17,0.570407487
2012,New Mexico Lobos,28,7,0.889711615
2012,New Mexico State Aggies,26,10,0.798178306
2012,New Orleans Privateers,1,7,0.011255629
2012,Niagara Purple Eagles,14,19,0.367807221
2012,Nicholls State Colonels,10,20,0.160157779
2012,Norfolk State Spartans,26,10,0.568627093
2012,North Alabama Lions,0,0,0
2012,North Carolina A&T Aggies,12,20,0.400236362
2012,North Carolina Central Eagles,17,15,0.76211988
2012,North Carolina State Wolfpack,24,13,0.684246475
2012,North Carolina Tar Heels,32,6,0.878268415
2012,North Carolina-Asheville Bulldogs,24,10,0.780101328
2012,North Carolina-Charlotte 49ers,13,17,0.430045284
